W.L,Weight.class,Method,Round,Time,Fighter1,Fighter2,Fight_url,Date,Kd1,SigStrikes1,TotStrikes1,Td1,SubAtt1,Pass1,Rev1,Kd2,SigStrikes2,TotStrikes2,Td2,SubAtt2,Pass2,Rev2,Head1,Body1,Leg1,Distance1,Clinch1,Ground1,Head2,Body2,Leg2,Distance2,Clinch2,Ground2
win,Lightweight,KO/TKO,3,2:08,Dustin Poirier,Anthony Pettis,http://www.fightmetric.com/fight-details/b55605791a4d72b9,"November 11, 2017","
      0
    ","
      53 of 100
    ","
      71 of 119
    ","
      5 of 6
    ","
      0
    ","
      3
    ","
      0
    ","
      0
    ","
      34 of 54
    ","
      46 of 66
    ","
      1 of 1
    ","
      4
    ","
      2
    ","
      2
    ","
      47 of 92
    ","
      5 of 6
    ","
      1 of 2
    ","
      25 of 62
    ","
      8 of 10
    ","
      20 of 28
    ","
      29 of 45
    ","
      3 of 7
    ","
      2 of 2
    ","
      23 of 43
    ","
      1 of 1
    ","
      10 of 10
    "
win,Welterweight,"KO/TKO

      

      
        Elbow",1,3:44,Matt Brown,Diego Sanchez,http://www.fightmetric.com/fight-details/b6b5ec324449befd,"November 11, 2017","
      1
    ","
      18 of 34
    ","
      20 of 36
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      12 of 20
    ","
      13 of 21
    ","
      0 of 3
    ","
      0
    ","
      0
    ","
      0
    ","
      14 of 30
    ","
      2 of 2
    ","
      2 of 2
    ","
      12 of 28
    ","
      6 of 6
    ","
      0 of 0
    ","
      7 of 12
    ","
      2 of 5
    ","
      3 of 3
    ","
      10 of 18
    ","
      2 of 2
    ","
      0 of 0
    "
win,Heavyweight,U-DEC,3,5:00,Andrei Arlovski,Junior Albini,http://www.fightmetric.com/fight-details/603354ffe9cc0755,"November 11, 2017","
      0
    ","
      48 of 106
    ","
      74 of 133
    ","
      0 of 1
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      92 of 203
    ","
      106 of 217
    ","
      0 of 1
    ","
      0
    ","
      0
    ","
      0
    ","
      35 of 88
    ","
      6 of 10
    ","
      7 of 8
    ","
      37 of 92
    ","
      11 of 14
    ","
      0 of 0
    ","
      52 of 157
    ","
      27 of 33
    ","
      13 of 13
    ","
      81 of 190
    ","
      11 of 13
    ","
      0 of 0
    "
win,Middleweight,S-DEC,3,5:00,Cezar Ferreira,Nate Marquardt,http://www.fightmetric.com/fight-details/7ad85c84025c0db0,"November 11, 2017","
      1
    ","
      36 of 65
    ","
      51 of 82
    ","
      0 of 2
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      47 of 81
    ","
      96 of 135
    ","
      2 of 4
    ","
      0
    ","
      1
    ","
      0
    ","
      22 of 49
    ","
      8 of 9
    ","
      6 of 7
    ","
      23 of 51
    ","
      7 of 8
    ","
      6 of 6
    ","
      14 of 41
    ","
      15 of 21
    ","
      18 of 19
    ","
      35 of 68
    ","
      1 of 2
    ","
      11 of 11
    "
win,Bantamweight,"KO/TKO

      

      
        Punch",3,1:50,Raphael Assuncao,Matthew Lopez,http://www.fightmetric.com/fight-details/151c597d2e609a4e,"November 11, 2017","
      1
    ","
      46 of 154
    ","
      48 of 156
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      34 of 93
    ","
      36 of 95
    ","
      1 of 4
    ","
      0
    ","
      0
    ","
      0
    ","
      24 of 123
    ","
      6 of 12
    ","
      16 of 19
    ","
      45 of 153
    ","
      1 of 1
    ","
      0 of 0
    ","
      16 of 68
    ","
      12 of 19
    ","
      6 of 6
    ","
      34 of 93
    ","
      0 of 0
    ","
      0 of 0
    "
win,Lightweight,"KO/TKO

      

      
        Punch",1,1:07,Clay Guida,Joe Lauzon,http://www.fightmetric.com/fight-details/935f559ab0521c27,"November 11, 2017","
      0
    ","
      1 of 7
    ","
      1 of 7
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      1
    ","
      24 of 40
    ","
      31 of 48
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      1 of 7
    ","
      0 of 0
    ","
      0 of 0
    ","
      1 of 7
    ","
      0 of 0
    ","
      0 of 0
    ","
      20 of 36
    ","
      1 of 1
    ","
      3 of 3
    ","
      6 of 10
    ","
      0 of 0
    ","
      18 of 30
    "
win,Bantamweight,S-DEC,3,5:00,Marlon Moraes,John Dodson,http://www.fightmetric.com/fight-details/5519d7fe2cee8353,"November 11, 2017","
      1
    ","
      43 of 105
    ","
      47 of 109
    ","
      2 of 4
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      45 of 131
    ","
      45 of 131
    ","
      1 of 2
    ","
      1
    ","
      0
    ","
      0
    ","
      24 of 83
    ","
      15 of 18
    ","
      4 of 4
    ","
      40 of 101
    ","
      2 of 3
    ","
      1 of 1
    ","
      21 of 92
    ","
      15 of 23
    ","
      9 of 16
    ","
      45 of 131
    ","
      0 of 0
    ","
      0 of 0
    "
win,Women's Strawweight,U-DEC,3,5:00,Tatiana Suarez,Viviane Pereira,http://www.fightmetric.com/fight-details/5db3e2fdd18129a4,"November 11, 2017","
      0
    ","
      71 of 106
    ","
      144 of 197
    ","
      4 of 5
    ","
      0
    ","
      13
    ","
      0
    ","
      0
    ","
      13 of 23
    ","
      69 of 104
    ","
      0 of 0
    ","
      1
    ","
      0
    ","
      0
    ","
      45 of 77
    ","
      14 of 15
    ","
      12 of 14
    ","
      11 of 30
    ","
      3 of 4
    ","
      57 of 72
    ","
      10 of 18
    ","
      2 of 4
    ","
      1 of 1
    ","
      7 of 14
    ","
      2 of 3
    ","
      4 of 6
    "
win,Lightweight,U-DEC,3,5:00,Sage Northcutt,Michel Quinones,http://www.fightmetric.com/fight-details/60de5efe5b439c8b,"November 11, 2017","
      0
    ","
      79 of 161
    ","
      82 of 166
    ","
      3 of 5
    ","
      0
    ","
      1
    ","
      0
    ","
      0
    ","
      55 of 161
    ","
      55 of 161
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      45 of 113
    ","
      15 of 24
    ","
      19 of 24
    ","
      77 of 159
    ","
      2 of 2
    ","
      0 of 0
    ","
      13 of 103
    ","
      9 of 17
    ","
      33 of 41
    ","
      55 of 161
    ","
      0 of 0
    ","
      0 of 0
    "
win,Women's Strawweight,U-DEC,3,5:00,Nina Ansaroff,Angela Hill,http://www.fightmetric.com/fight-details/7006a98fe9944571,"November 11, 2017","
      0
    ","
      107 of 230
    ","
      108 of 233
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      143 of 309
    ","
      146 of 312
    ","
      0 of 1
    ","
      0
    ","
      0
    ","
      0
    ","
      68 of 173
    ","
      18 of 31
    ","
      21 of 26
    ","
      99 of 222
    ","
      8 of 8
    ","
      0 of 0
    ","
      81 of 230
    ","
      23 of 35
    ","
      39 of 44
    ","
      135 of 293
    ","
      7 of 14
    ","
      1 of 2
    "
